file_name,name_gui,name_short,name_src,est_rt60,meas_rt60,fade_start,low_rt60,folder,version,gdrive_link,gain,f_crossover,order_crossover,noise_reduce,source_hrtf_dataset,source_hrtf_id,description,notes,source_dataset,citation,citation_link,high_fc,mid_fc,low_fc
reverberation_dataset_studio_b,Studio B,Studio-B,studio_b,400,351,550,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1OQ4ZqPq4LzJxCEskfBa-YZ_yW41Zo6K-/view?usp=drive_link,-2.1,90,9,No,max,1,Studio live room ,Derived from rooms MV4 and MV5,BBC Maida Vale Impulse Response Dataset ,"Gavin Kearney, ‘BBC Maida Vale Impulse Response Dataset’, Acoustics, vol. 4, no. 3. Zenodo, pp. 783–799, Oct. 19, 2023. doi: 10.5281/zenodo.10020866.",,No,No,No
reverberation_dataset_studio_c,Studio C,Studio-C,studio_c,800,723,900,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1Us5amK8VFz5Oe5PTiI_-pUgcrDAenwh4/view?usp=drive_link,-2.6,115,9,No,max,0,Recording studio at the Australian National University (ANU) ,,RSoANU: RIR Dataset ,"G. Chesworth, A. Bastineand T. Abhayapala, ‘RSoANU: RIR Dataset’. Zenodo, 2024. doi: 10.5281/zenodo.10720345. ",,No,No,No
reverberation_dataset_studio_d,Studio D,Studio-D,studio_d,800,739,900,Yes,est_bin,1.0.5,https://drive.google.com/file/d/186rcLa7yleQttCUzBq2BVlQOFWs3-tHH/view?usp=drive_link,-2.6,100,9,No,max,1,Recording studio at the Australian National University (ANU) ,,RSoANU: RIR Dataset ,"G. Chesworth, A. Bastineand T. Abhayapala, ‘RSoANU: RIR Dataset’. Zenodo, 2024. doi: 10.5281/zenodo.10720345. ",,No,No,No
reverberation_dataset_tatami_room_a,Tatami Room,Tatami-Rm,tatami_room_a,550,513,700,Yes,est_bin,1.0.3,https://drive.google.com/file/d/1Tao4rYLy3FGKT4t5kfITRZFIpVFH8vKZ/view?usp=drive_link,-2.3,120,10,Yes,max,0,Japanese Tatami Room,,RWCP Real Environment Speech and Acoustic Database (RWCP-SSD).,"Real World Computing Partnership (2007): RWCP Real Environment Speech and Acoustic Database (RWCP-SSD). Speech Resources Consortium, National Institute of Informatics. (dataset). https://doi.org/10.32130/src.RWCP-SSD",https://doi.org/10.32130/src.RWCP-SSD,Yes,No,No
reverberation_dataset_courtyard_a,Courtyard,Courtyard,courtyard_a,1300,1496,0,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1p47fqt4g6GRpofF_JwKFm6ZAsF3RnQGD/view?usp=drive_link,-2.1,100,9,Yes,max,1,Alcuin college university york,,openAIR Library,Attributed to www.openairlib.net,https://www.openair.hosted.york.ac.uk/,No,No,No
reverberation_dataset_auditorium_c,Auditorium C,Auditorium-C,auditorium_c,400,418,0,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1obvlAeRTrLHnch1sJHMBwLAhUPhhkqls/view?usp=drive_link,-3.1,100,9,Yes,max,1,Arthur sykes rymer auditorium university york,,openAIR Library,Attributed to www.openairlib.net,https://www.openair.hosted.york.ac.uk/,No,No,No
reverberation_dataset_auditorium_d,Auditorium D,Auditorium-D,auditorium_d,1300,1246,0,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1fOJe-aJr6E6PP2ByL4LV_v97b-oqsaSV/view?usp=drive_link,-2.1,90,9,No,max,1,Auditorium 21 at the Technical University of Denmark (DTU),,ODEON Impulse response downloads,Attributed to https://odeon.dk/downloads/impulse-responses/#gsc.tab=0,https://odeon.dk/downloads/impulse-responses/#gsc.tab=0,No,No,No
reverberation_dataset_small_theatre_a,Small Theatre,Small-Theatre,small_theatre_a,1000,950,0,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1jKpgb5_99L1hLojhQ6PaFp8-tgTG8nQg/view?usp=drive_link,-2.1,100,9,No,max,1,The Dixon Studio Theatre University of York,,openAIR Library,Attributed to www.openairlib.net,https://www.openair.hosted.york.ac.uk/,No,No,No
reverberation_dataset_smoking_room_a,Smoking Room,Smoking-Room,smoking_room_a,700,654,0,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1kU3k4iKiH1locfgNDECZUeY_0pGrJ9kV/view?usp=drive_link,-2.1,90,9,No,max,1,Elveden Hall (Suffolk England),,openAIR Library,Attributed to www.openairlib.net,https://www.openair.hosted.york.ac.uk/,No,No,No
reverberation_dataset_outdoors_c,Outdoors C,Outdoors-C,outdoors_c,1300,1199,0,Yes,est_bin,1.0.5,https://drive.google.com/file/d/10Noof1gFHmJIyoIAFUMweK5k8sP7OWug/view?usp=drive_link,-2.1,100,9,Yes,max,1,"Abies Grandis Forest, Wheldrake Wood",,openAIR Library,Attributed to www.openairlib.net,https://www.openair.hosted.york.ac.uk/,No,No,No
reverberation_dataset_recording_room_a,Recording Room,Recording-Rm,recording_room_a,400,284,0,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1lEQb7cXo9ZmVclDNVKySTBbovKQSrdMF/view?usp=drive_link,-2.1,100,9,No,max,1,Genesis 6 Studio Live Room Drum Set Up,,openAIR Library,Attributed to www.openairlib.net,https://www.openair.hosted.york.ac.uk/,No,No,No
